Task,,,los_7d,los_7d,los_7d,los_7d,in_hospital_mortality,in_hospital_mortality,in_hospital_mortality,in_hospital_mortality
F1-score,English Proficiency,Proficient,0.625 (0.619 - 0.631),0.605 (0.595 - 0.615),<.01,-0.02,0.587 (0.581 - 0.592),0.608 (0.601 - 0.615),<.001,0.021
F1-score,Insurance,Medicare/Medicaid,0.628 (0.619 - 0.636),0.582 (0.570 - 0.594),<.001,-0.046,0.583 (0.575 - 0.591),0.597 (0.587 - 0.606),0.062,0.013
F1-score,Insurance,Other,0.624 (0.619 - 0.629),0.633 (0.622 - 0.645),0.176,0.009,0.583 (0.573 - 0.593),0.613 (0.607 - 0.620),<.001,0.031
F1-score,Race,American Indian / Alaska Native,0.950 (0.898 - 1.001),0.502 (0.313 - 0.692),<.001,-0.447,0.579 (0.446 - 0.711),0.553 (0.303 - 0.803),0.869,-0.025
F1-score,Race,Asian,0.576 (0.524 - 0.628),0.511 (0.457 - 0.566),0.128,-0.065,0.619 (0.546 - 0.693),0.642 (0.562 - 0.721),0.702,0.023
F1-score,Race,Black,0.566 (0.538 - 0.594),0.640 (0.613 - 0.667),<.01,0.074,0.605 (0.573 - 0.638),0.561 (0.521 - 0.601),0.127,-0.044
F1-score,Race,Hispanic OR Latino,0.680 (0.651 - 0.710),0.695 (0.656 - 0.734),0.595,0.014,0.465 (0.427 - 0.502),0.604 (0.564 - 0.643),<.001,0.139
F1-score,Race,Native Hawaiian / Pacific Islander,0.469 (0.333 - 0.606),0.000 (0.000 - 0.000),<.001,-0.469,0.832 (0.752 - 0.912),0.443 (0.207 - 0.680),<.01,-0.389
F1-score,Race,Unknown,0.665 (0.651 - 0.678),0.638 (0.621 - 0.656),0.041,-0.026,0.616 (0.609 - 0.624),0.658 (0.650 - 0.667),<.001,0.042
F1-score,Race,White,0.606 (0.597 - 0.614),0.582 (0.571 - 0.592),<.01,-0.024,0.560 (0.554 - 0.566),0.563 (0.548 - 0.578),0.756,0.003
Recall,,Overall,0.749 (0.743 - 0.755),0.670 (0.659 - 0.681),<.001,-0.079,0.784 (0.775 - 0.792),0.733 (0.724 - 0.742),<.001,-0.05
Recall,English Proficiency,Non-Proficient,0.689 (0.664 - 0.713),0.655 (0.625 - 0.685),0.121,-0.034,0.794 (0.775 - 0.813),0.741 (0.708 - 0.774),0.018,-0.053
Recall,English Proficiency,Proficient,0.758 (0.751 - 0.764),0.672 (0.661 - 0.683),<.001,-0.086,0.783 (0.774 - 0.791),0.733 (0.723 - 0.743),<.001,-0.05
Recall,Insurance,Medicare/Medicaid,0.746 (0.739 - 0.754),0.626 (0.608 - 0.643),<.001,-0.121,0.772 (0.759 - 0.785),0.730 (0.716 - 0.743),<.001,-0.042
Recall,Insurance,Other,0.752 (0.743 - 0.761),0.703 (0.691 - 0.715),<.001,-0.049,0.797 (0.786 - 0.807),0.736 (0.726 - 0.747),<.001,-0.06
Recall,Race,American Indian / Alaska Native,0.915 (0.830 - 1.000),0.675 (0.430 - 0.920),0.103,-0.24,0.900 (0.714 - 1.086),0.492 (0.245 - 0.739),0.024,-0.408
Recall,Race,Asian,0.692 (0.639 - 0.745),0.536 (0.474 - 0.599),<.01,-0.155,0.919 (0.883 - 0.956),0.938 (0.896 - 0.980),0.546,0.018
Recall,Race,Black,0.692 (0.660 - 0.723),0.693 (0.655 - 0.732),0.946,0.002,0.749 (0.710 - 0.789),0.643 (0.601 - 0.685),<.01,-0.106
Recall,Race,Hispanic OR Latino,0.796 (0.757 - 0.834),0.776 (0.724 - 0.827),0.573,-0.02,0.712 (0.643 - 0.781),0.734 (0.700 - 0.768),0.598,0.022
Recall,Race,Native Hawaiian / Pacific Islander,0.744 (0.558 - 0.930),0.000 (0.000 - 0.000),<.001,-0.744,0.900 (0.795 - 1.005),0.367 (0.156 - 0.577),<.001,-0.534
Recall,Race,Unknown,0.812 (0.798 - 0.827),0.705 (0.686 - 0.725),<.001,-0.107,0.797 (0.779 - 0.815),0.745 (0.733 - 0.757),<.001,-0.052
Recall,Race,White,0.716 (0.709 - 0.723),0.633 (0.621 - 0.645),<.001,-0.083,0.776 (0.765 - 0.786),0.724 (0.705 - 0.743),<.001,-0.051
