Task,,,los_7d,los_7d,los_7d,los_7d,in_hospital_mortality,in_hospital_mortality,in_hospital_mortality,in_hospital_mortality
F1-score,English Proficiency,Proficient,0.458 (0.451 - 0.465),0.215 (0.203 - 0.228),<.001,-0.243,0.297 (0.286 - 0.307),0.164 (0.154 - 0.173),<.001,-0.133
F1-score,Insurance,Medicare/Medicaid,0.451 (0.441 - 0.461),0.220 (0.206 - 0.235),<.001,-0.231,0.262 (0.245 - 0.278),0.152 (0.141 - 0.164),<.001,-0.109
F1-score,Insurance,Other,0.455 (0.444 - 0.466),0.244 (0.232 - 0.255),<.001,-0.211,0.332 (0.314 - 0.349),0.166 (0.149 - 0.182),<.001,-0.166
F1-score,Race,American Indian / Alaska Native,0.509 (0.336 - 0.682),0.000 (0.000 - 0.000),<.001,-0.509,0.000 (0.000 - 0.000),0.000 (0.000 - 0.000),,0.0
F1-score,Race,Asian,0.380 (0.305 - 0.456),0.101 (0.047 - 0.155),<.001,-0.279,0.289 (0.175 - 0.403),0.159 (0.092 - 0.226),0.085,-0.13
F1-score,Race,Black,0.362 (0.333 - 0.390),0.228 (0.190 - 0.266),<.001,-0.133,0.429 (0.372 - 0.486),0.193 (0.135 - 0.251),<.001,-0.236
F1-score,Race,Hispanic OR Latino,0.404 (0.351 - 0.458),0.282 (0.232 - 0.332),<.01,-0.122,0.416 (0.347 - 0.486),0.067 (0.030 - 0.104),<.001,-0.349
F1-score,Race,Native Hawaiian / Pacific Islander,0.217 (0.065 - 0.370),0.000 (0.000 - 0.000),0.016,-0.217,0.630 (0.467 - 0.793),0.000 (0.000 - 0.000),<.001,-0.63
F1-score,Race,Unknown,0.481 (0.464 - 0.498),0.252 (0.240 - 0.264),<.001,-0.229,0.322 (0.302 - 0.342),0.139 (0.129 - 0.150),<.001,-0.183
F1-score,Race,White,0.450 (0.441 - 0.459),0.222 (0.209 - 0.234),<.001,-0.228,0.245 (0.236 - 0.255),0.178 (0.161 - 0.196),<.001,-0.067
Recall,,Overall,0.317 (0.311 - 0.323),0.140 (0.133 - 0.148),<.001,-0.177,0.181 (0.173 - 0.189),0.089 (0.083 - 0.095),<.001,-0.092
Recall,English Proficiency,Non-Proficient,0.275 (0.257 - 0.293),0.220 (0.203 - 0.236),<.001,-0.055,0.180 (0.156 - 0.204),0.066 (0.054 - 0.077),<.001,-0.114
Recall,English Proficiency,Proficient,0.323 (0.317 - 0.329),0.128 (0.120 - 0.136),<.001,-0.195,0.181 (0.174 - 0.188),0.091 (0.085 - 0.097),<.001,-0.09
Recall,Insurance,Medicare/Medicaid,0.314 (0.304 - 0.324),0.131 (0.121 - 0.141),<.001,-0.183,0.155 (0.144 - 0.167),0.084 (0.077 - 0.090),<.001,-0.072
Recall,Insurance,Other,0.321 (0.311 - 0.331),0.147 (0.139 - 0.154),<.001,-0.174,0.209 (0.196 - 0.222),0.093 (0.083 - 0.103),<.001,-0.116
Recall,Race,American Indian / Alaska Native,0.383 (0.242 - 0.524),0.000 (0.000 - 0.000),<.001,-0.383,0.000 (0.000 - 0.000),0.000 (0.000 - 0.000),,0.0
Recall,Race,Asian,0.279 (0.216 - 0.342),0.060 (0.026 - 0.094),<.001,-0.219,0.182 (0.106 - 0.257),0.090 (0.050 - 0.131),0.062,-0.092
Recall,Race,Black,0.228 (0.206 - 0.250),0.133 (0.108 - 0.158),<.001,-0.095,0.294 (0.246 - 0.342),0.113 (0.077 - 0.150),<.001,-0.181
Recall,Race,Hispanic OR Latino,0.271 (0.227 - 0.315),0.174 (0.140 - 0.209),<.01,-0.097,0.300 (0.240 - 0.359),0.036 (0.016 - 0.056),<.001,-0.264
Recall,Race,Native Hawaiian / Pacific Islander,0.231 (0.039 - 0.423),0.000 (0.000 - 0.000),0.038,-0.231,0.586 (0.399 - 0.773),0.000 (0.000 - 0.000),<.001,-0.586
Recall,Race,Unknown,0.338 (0.324 - 0.353),0.153 (0.145 - 0.161),<.001,-0.186,0.196 (0.182 - 0.210),0.076 (0.070 - 0.082),<.001,-0.12
Recall,Race,White,0.319 (0.310 - 0.328),0.133 (0.124 - 0.141),<.001,-0.186,0.147 (0.140 - 0.154),0.101 (0.090 - 0.112),<.001,-0.046
